Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Direction	GO terms (biological process)	GO terms (molecular function)	Pathways of gene	Accession-2
RSAU_RS01730	RSAU_RS01730	381321	382862	RSAU_RS01730-MONOMER	+			PWY-6125 // PWY-7221 // AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY	RSAU_000335
RSAU_RS04440	RSAU_RS04440	915060	915884	RSAU_RS04440-MONOMER	-				RSAU_000848
RSAU_RS10150	RSAU_RS10150	2031113	2032664	RSAU_RS10150-rRNA	-				RSAU_001899
RSAU_RS01870	RSAU_RS01870	403962	405518	RSAU_RS01870-MONOMER	+				RSAU_000360
RSAU_RS10980	RSAU_RS10980	2196605	2196787	RSAU_RS10980-MONOMER	-				RSAU_002051
RSAU_RS09470	RSAU_RS09470	1898204	1898590	RSAU_RS09470-MONOMER	-				RSAU_001774
RSAU_RS07770	RSAU_RS07770	1580336	1581022	RSAU_RS07770-MONOMER	-			PWY0-1391 // PWY-6151 // PWY-6153	RSAU_001463
RSAU_RS12620	RSAU_RS12620	2502301	2503479	RSAU_RS12620-MONOMER	+				RSAU_002351
RSAU_RS00985	RSAU_RS00985	233561	234604	RSAU_RS00985-MONOMER	+				RSAU_000194
RSAU_RS13360	RSAU_RS13360	2653899	2654459	RSAU_RS13360-MONOMER	-				RSAU_002488
RSAU_RS05005	RSAU_RS05005	1028608	1029636	RSAU_RS05005-MONOMER	+			PWY-6121	RSAU_000958
RSAU_RS13135	RSAU_RS13135	2604269	2604712	RSAU_RS13135-MONOMER	-				RSAU_002450
RSAU_RS03940	RSAU_RS03940	820059	820799	RSAU_RS03940-MONOMER	+				RSAU_000757
RSAU_RS10010	RSAU_RS10010	2000300	2001784	RSAU_RS10010-MONOMER	-				RSAU_001874
RSAU_RS13000	RSAU_RS13000	2579615	2579911	RSAU_RS13000-MONOMER	-				RSAU_002426
RSAU_RS12175	RSAU_RS12175	2410433	2411575	RSAU_RS12175-MONOMER	+				RSAU_002272
RSAU_RS06120	RSAU_RS06120	1254065	1254769	RSAU_RS06120-MONOMER	+				RSAU_001163
RSAU_RS13285	RSAU_RS13285	2633465	2634169	RSAU_RS13285-MONOMER	-				RSAU_002474
RSAU_RS08325	RSAU_RS08325	1698517	1699572	RSAU_RS08325-MONOMER	+				RSAU_001565
RSAU_RS09820	RSAU_RS09820	1968075	1969130	RSAU_RS09820-MONOMER	-				RSAU_001838
RSAU_RS02675	RSAU_RS02675	576047	576409	RSAU_RS02675-MONOMER	-				RSAU_000522
RSAU_RS04350	RSAU_RS04350	889941	890324	RSAU_RS04350-MONOMER	-				RSAU_000830
RSAU_RS08505	RSAU_RS08505	1735976	1737335	RSAU_RS08505-MONOMER	-				RSAU_001594
RSAU_RS05455	RSAU_RS05455	1114432	1114938	RSAU_RS05455-MONOMER	+				RSAU_001039
RSAU_RS03605	RSAU_RS03605	750037	751551	RSAU_RS03605-MONOMER	+		GO:0005215		RSAU_000697
RSAU_RS05705	RSAU_RS05705	1159235	1160509	RSAU_RS05705-MONOMER	+			PWY0-162 // PWY-5686	RSAU_001084
RSAU_RS12955	RSAU_RS12955	2571220	2572041	RSAU_RS12955-MONOMER	-				RSAU_002416
RSAU_RS04320	RSAU_RS04320	884380	884673	RSAU_RS04320-MONOMER	-		GO:0005215		RSAU_000824
RSAU_RS02075	RSAU_RS02075	445313	449812	RSAU_RS02075-MONOMER	+			GLUTAMINEFUM-PWY // PWY-5675 // GLUTSYNIII-PWY // AMMASSIM-PWY // PWY-5921 // GLUTSYN-PWY // GLUTAMINDEG-PWY	RSAU_000405
RSAU_RS05170	RSAU_RS05170	1060393	1061412	RSAU_RS05170-MONOMER	+				RSAU_000988
RSAU_RS10615	RSAU_RS10615	2116918	2117022	RSAU_RS10615-MONOMER	-				
RSAU_RS08395	RSAU_RS08395	1711709	1712452	RSAU_RS08395-MONOMER	-			PWY0-381 // PWY-6952	RSAU_001577
RSAU_RS03405	RSAU_RS03405	710407	712080	RSAU_RS03405-MONOMER	+		GO:0005215		RSAU_000661
RSAU_RS11480	RSAU_RS11480	2273509	2274285	RSAU_RS11480-MONOMER	-				RSAU_002144
RSAU_RS13005	RSAU_RS13005	2579899	2580267	RSAU_RS13005-MONOMER	-				RSAU_002427
RSAU_RS05830	RSAU_RS05830	1186843	1188489	RSAU_RS05830-MONOMER	+				RSAU_001108
