"Scaffold DIA 4.2.2"
"WU333373_ScaffoldDIA_DIANN19_allSA6850_PrX_db5_result_wCategories_OG.sdia"
"Summarization hierarchy: {0804_vs_rest}"
"   Comparison Level: 0804_vs_rest"
"   Biological Replicate Level: MS Sample"
"   Technical Replicate Level: MS Sample"
"The data below is summarized at the level of (0804_vs_rest)"
"Statistical test: t-test"
""
"","","","","","","","","","","Log2  Fold Change (Total  Intensity) (Normalized)",""
"#","Visible","Star","Protein Name","Accession Number","Molecular Weight","Protein Group Score","Identified Peptide Count","Exclusivity","t-test, CL: 0804_vs_rest","0804","rest"
"1","true","Empty","[gene=rpoC] [locus_tag=RSAU_000495] [protein=DNA directed RNA polymerase beta-prime chain, putative] [protein_id=AGU54346.1] [location=538258..541881] [gbkey=CDS] BLASTORTHO sp_Q2G0N5_RPOC_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54346.1_462","135 kDa","0.9999987472999692","83","100%","< 0.0001","-1.03","0.000"
"2","true","Empty","[gene=atl] [locus_tag=RSAU_000940] [protein=autolysin Atl] [protein_id=AGU54772.1] [location=complement(1006585..1010349)] [gbkey=CDS] BLASTORTHO sp_Q2FZK7_ATL_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54772.1_888","137 kDa","0.9999987472999692","86","100%","0.0017","1.12","0.000"
"3","true","Empty","[gene=rpoB] [locus_tag=RSAU_000494] [protein=DNA-dependent RNA polymerase, beta subunit] [protein_id=AGU54345.1] [location=534570..538121] [gbkey=CDS] BLASTORTHO sp_P47768_RPOB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54345.1_461","133 kDa","0.9999987472999692","71","100%","< 0.0001","-1.14","0.000"
"4","true","Empty","[gene=pflB] [locus_tag=RSAU_000170] [protein=pyruvate formate lyase, putative] [protein_id=AGU54042.1] [location=200962..203211] [gbkey=CDS] BLASTORTHO sp_Q2G1D8_PFLB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54042.1_158","85 kDa","0.9999987472999692","53","100%","0.39","-1.08","0.000"
"5","true","Empty","[gene=secA1] [locus_tag=RSAU_000728] [protein=preprotein translocase, SecA subunit, putative] [protein_id=AGU54566.1] [location=784893..787424] [gbkey=CDS] BLASTORTHO sp_O06446_SECA1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54566.1_682","96 kDa","0.9999987472999692","56","100%","0.00036","0.680","0.000"
"6","true","Empty","[gene=pyc] [locus_tag=RSAU_000999] [protein=pyruvate carboxylase] [protein_id=AGU54831.1] [location=1070925..1074377] [gbkey=CDS] BLASTORTHO tr_Q2G2C1_Q2G2C1_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54831.1_947","129 kDa","0.9999987472999692","55","100%","0.00075","-0.468","0.000"
"7","true","Empty","[gene=opp1A] [locus_tag=RSAU_002305] [protein=oligopeptide ABC transporter, substrate binding domain, putative] [protein_id=AGU56059.1] [location=complement(2449607..2451205)] [gbkey=CDS] BLASTORTHO sp_Q2FVE7_CNTA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU56059.1_2175","60 kDa","0.9999984367100296","52","100%","0.21","-0.411","0.000"
"8","true","Empty","[gene=clpC] [locus_tag=RSAU_000476] [protein=ATP-dependent Clp protease ATP-binding subunit ClpC] [protein_id=AGU54327.1] [location=517740..520091] [gbkey=CDS] BLASTORTHO sp_Q2G0P5_CLPC_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54327.1_443","87 kDa","0.9999987472999692","52","94%","0.16","0.300","0.000"
"9","true","Empty","[gene=valS] [locus_tag=RSAU_001523] [protein=valyl-tRNA synthetase] [protein_id=AGU55347.1] [location=complement(1643874..1646474)] [gbkey=CDS] BLASTORTHO sp_Q2FXR8_SYV_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55347.1_1463","101 kDa","0.9999987218400292","53","100%","< 0.0001","-0.431","0.000"
"10","true","Empty","[gene=pyrAB] [locus_tag=RSAU_001086] [protein=carbamoyl-phosphate synthase, large subunit PyrAB] [protein_id=AGU54916.1] [location=1161604..1164777] [gbkey=CDS] BLASTORTHO sp_Q2FZ72_CARB_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54916.1_1032","117 kDa","0.9999987472999692","46","100%","0.67","0.160","0.000"
"11","true","Empty","[gene=hysA2] [locus_tag=RSAU_002045] [protein=hyaluronate lyase, putative] [protein_id=AGU55802.1] [location=2188507..2190930] [gbkey=CDS] BLASTORTHO sp_Q59801_HYSA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55802.1_1918","92 kDa","0.9999984914200013","52","60%","0.18","-1.30","0.000"
"12","true","Empty","[gene=pbp3] [locus_tag=RSAU_001417] [protein=penicillin-binding protein 3] [protein_id=AGU55243.1] [location=complement(1535383..1537458)] [gbkey=CDS] BLASTORTHO tr_Q2FY21_Q2FY21_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55243.1_1359","77 kDa","0.9999987472999692","43","100%","0.00018","0.844","0.000"
"13","true","Empty","[gene=alaS] [locus_tag=RSAU_001480] [protein=alanyl-tRNA synthetase] [protein_id=AGU55306.1] [location=complement(1595694..1598327)] [gbkey=CDS] BLASTORTHO sp_Q2FXV9_SYA_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55306.1_1422","99 kDa","0.9999987472999692","41","100%","< 0.0001","-0.442","0.000"
"14","true","Empty","[locus_tag=RSAU_001598] [protein=DNA translocase stage III sporulation protein] [protein_id=AGU55419.1] [location=complement(1739311..1743135)] [gbkey=CDS] BLASTORTHO tr_Q2FXI9_Q2FXI9_STAA8 evalue=0","lcl_CP006706.1_prot_AGU55419.1_1535","144 kDa","0.9999984367100296","47","100%","0.45","0.104","0.000"
"15","true","Empty","[gene=clpB] [locus_tag=RSAU_000851] [protein=ATP-dependent Clp protease, ATP-binding subunit ClpB] [protein_id=AGU54687.1] [location=918901..921510] [gbkey=CDS] BLASTORTHO tr_Q2FZS8_Q2FZS8_STAA8 evalue=0","lcl_CP006706.1_prot_AGU54687.1_803","98 kDa","0.9999984367100296","48","94%","0.00033","-0.630","0.000"
